timestamp,rid,arrive_node,label,seconds
1784605989.137,1,9,,3.366
1784605992.501,1,10,,3.363
1784605998.019,1,18,1-1,3.415
1784606001.428,1,26,1-3,3.408
1784606009.291,1,25,,3.403
1784606012.690,1,24,,3.398
1784606018.096,1,16,,3.369
1784606021.512,1,8,W2,3.414
1784606035.856,1,16,,3.392
1784606039.229,1,24,,3.371
1784606044.602,1,25,,3.358
1784606047.987,1,26,1-3,3.385
1784606055.664,1,18,1-1,3.417
1784606061.158,1,10,,3.353
1784606066.666,1,9,,3.353
1784606070.003,1,8,W2,3.336
1784606085.066,1,16,,3.409
1784606090.504,1,17,,3.347
1784606093.841,1,18,1-1,3.296
1784606099.346,1,19,1-2,3.365
1784606107.162,1,11,,3.369
1784606112.590,1,10,,3.370
1784606115.973,1,9,,3.382
1784606119.372,1,8,W2,3.398
1784606131.434,1,9,,3.291
1784606134.764,1,10,,3.328
1784606138.103,1,11,,3.339
1784606143.519,1,19,1-2,3.309
1784606149.016,1,27,1-4,3.363
1784606155.730,1,35,,4.571
