timestamp,rid,arrive_node,label,seconds
1784608694.222,1,9,,3.392
1784608697.598,1,10,,3.375
1784608703.047,1,18,1-1,3.381
1784608710.636,1,17,,3.392
1784608714.049,1,16,,3.412
1784608719.551,1,8,W2,3.376
1784608731.500,1,16,,3.373
1784608736.951,1,17,,3.359
1784608740.333,1,18,1-1,3.381
1784608745.881,1,19,1-2,3.410
1784608753.828,1,11,,3.418
1784608759.351,1,10,,3.389
1784608762.738,1,9,,3.385
1784608766.131,1,8,W2,3.392
1784608778.067,1,9,,3.343
1784608781.458,1,10,,3.389
1784608784.822,1,11,,3.364
1784608790.394,1,19,1-2,3.367
1784608795.991,1,27,1-4,3.451
1784608801.492,1,26,1-3,3.307
1784608807.034,1,25,,3.404
1784608810.421,1,24,,3.386
1784608815.830,1,16,,3.363
1784608819.228,1,8,W2,3.397
1784608831.071,1,16,,3.406
1784608834.471,1,24,,3.399
1784608839.939,1,25,,3.395
1784608843.335,1,26,1-3,3.394
1784608848.862,1,27,1-4,3.390
